NOMBRE,descripcion,CATEGORIA,ENLACE,,,,,
MetaGPT,"Framework que permite a los agentes asumir roles de una empresa de software (product managers, programadores) para generar código.",Framework Multi-Agente de Software,github.com/geekan/MetaGPT,,,,,
ChatDev,"Entorno virtual de desarrollo de software donde múltiples agentes de IA colaboran para diseñar, programar y probar aplicaciones.",Framework Multi-Agente de Software,github.com/OpenBMB/ChatDev,,,,,
LangGraph,Extensión de LangChain diseñada para construir aplicaciones agénticas basadas en gráficos y flujos de trabajo cíclicos.,Orquestación y Control de Agentes,github.com/langchain-ai/langgraph,,,,,
Phidata,"Framework para construir asistentes de IA autónomos con memoria a largo plazo, conocimiento estructurado y llamadas a funciones.",Desarrollo de Agentes con Funciones,github.com/phidatahq/phidata,,,,,
Devika,"Agente de ingeniería de software de código abierto alternativo a Devin, capaz de escribir código y resolver incidencias web.",Ingeniería de Software Autónoma,github.com/stitionai/devika,,,,,
OpenDevin,(Ahora conocido como All-Hands) Proyecto colaborativo para crear un ingeniero de software autónomo impulsado por IA.,Ingeniería de Software Autónoma,github.com/All-Hands-AI/OpenDevin,,,,,
SuperAGI,"Framework de código abierto enfocado en desarrolladores para construir, gestionar y desplegar agentes autónomos estables.",Framework de Agentes Autónomos,github.com/TransformerOptimus/SuperAGI,,,,,
CopilotKit,Componentes React para integrar fácilmente asistentes de IA conversacionales y copilotajes interactivos en tus aplicaciones web.,Integración UI de Agentes,github.com/CopilotKit/CopilotKit,,,,,
LocalAI,"Alternativa de código abierto autohospedada a la API de OpenAI, compatible con LLMs, generación de imágenes y audio locales.",API e Infraestructura Local,github.com/mudler/LocalAI,,,,,
Aider,Herramienta de programación en terminal que permite editar código de manera cooperativa con LLMs directamente en repositorios Git.,Asistencia de Programación,github.com/Aider-AI/aider,,,,,
FastChat,"Plataforma abierta para entrenar, servir y evaluar chatbots basados en LLM, famosa por albergar la arena de evaluación de modelos.",Entrenamiento y Evaluación de LLMs,github.com/lm-sys/FastChat,,,,,
GPT-Pilot,Herramienta de IA de nivel de desarrollo que escribe código de aplicaciones completas basándose en la interacción con el usuario.,Ingeniería de Software Autónoma,github.com/Pythagora-io/gpt-pilot,,,,,
Open Interpreter,Interfaz en lenguaje natural para tu ordenador que permite a la IA ejecutar código de manera local en tu terminal de forma segura.,Ejecución de Código Local,github.com/OpenInterpreter/open-interpreter,,,,,
Llama.cpp,Implementación ultra-eficiente en C/C++ para ejecutar modelos LLaMA de Meta con mínima huella de memoria mediante cuantización.,Optimización e Inferencia de LLMs,github.com/ggerganov/llama.cpp,,,,,
Semantic Kernel,"SDK de Microsoft para integrar de manera limpia lenguajes de programación tradicionales (C#, Python, Java) con LLMs y agentes.",Integración Empresarial de LLMs,github.com/microsoft/semantic-kernel,,,,,
TaskWeaver,Framework que permite planificar y ejecutar tareas complejas de ciencia de datos utilizando agentes impulsados por código.,Agentes de Análisis de Datos,github.com/microsoft/TaskWeaver,,,,,
MemGPT,Sistema de gestión de memoria diseñado para dar a los LLMs un contexto virtual infinito y memoria persistente a largo plazo.,Gestión de Memoria para Agentes,github.com/cpacker/MemGPT,,,,,
Text-Generation-WebUI,Una interfaz web completa basada en Gradio para ejecutar y experimentar con todo tipo de LLMs locales.,Interfaz de Usuario para LLMs,github.com/oobabooga/text-generation-webui,,,,,
Qwen-Agent,"Framework de Alibaba para construir aplicaciones agénticas, herramientas de lectura de documentos de largo contexto y RAG.",Framework de Agentes,github.com/QwenLM/qwen-agent,,,,,
AnythingLLM,Aplicación de escritorio todo-en-uno que convierte cualquier documento en un motor de chat privado e inteligente con RAG.,RAG de Escritorio y Privado,github.com/Mintplex-Labs/anything-llm,,,,,
Verba,"Aplicación RAG intuitiva impulsada por Weaviate para buscar, resumir y chatear con tus propios conjuntos de datos privados.",Aplicación RAG out-of-the-box,github.com/weaviate/verba,,,,,
AgentGPT,Plataforma que permite configurar y desplegar agentes de IA autónomos directamente a través de una interfaz de navegador web.,Agentes Autónomos en Navegador,github.com/reworkd/AgentGPT,,,,,
SWE-agent,Agente de código abierto que convierte LLMs en ingenieros de software capaces de solucionar problemas reales en repositorios Git.,Ingeniería de Software Autónoma,github.com/princeton-nlp/SWE-agent,,,,,
strix,"Plataforma de seguridad y pentesting que usa agentes de IA autónomos para identificar, investigar y explotar vulnerabilidades de forma real.",Agentes de Ciberseguridad,github.com/strix-security/strix,,,,,
page-agent,Agente autónomo de Alibaba que interactúa directamente con el DOM y la interfaz de cualquier web mediante lenguaje natural (sin depender de selectores frágiles).,Automatización Web de IA,github.com/khawjaahmad/page-agent-demo,,,,,
camofox-browser,Servidor de navegación sigilosa headless basado en Camoufox (Firefox fork) optimizado para que agentes de IA eviten bloqueos como Cloudflare.,Automatización Web de IA,github.com/jo-inc/camofox-browser,,,,,
browser use,Biblioteca de automatización que permite a los agentes de IA controlar navegadores web de forma nativa e inteligente.,Automatización Web de IA,github.com/browser-use/browser-use,,,,,
openhands,"(Antes OpenDevin) Plataforma y agente de software autónomo que escribe código, ejecuta comandos y soluciona issues en repositorios Git.",Agentes de Programación,github.com/OpenHands/OpenHands,,,,,
maxun,Extractor de datos web y web scraper sin código impulsado por IA para crear robots de extracción en minutos.,Raspado Web e IA,github.com/maxun-io/maxun,,,,,
crawl4ai,Motor de raspado web súper rápido y optimizado para IA que convierte sitios web en Markdown limpio listo para LLMs y RAG.,RAG e Ingesta de Datos,github.com/unclecode/crawl4ai,,,,,
firecrawl,API y herramienta para convertir sitios web enteros en Markdown limpio y estructurado para alimentar tus agentes y LLMs.,RAG e Ingesta de Datos,github.com/firecrawl/firecrawl,,,,,
ai-trader,"Plataforma nativa para agentes de IA que les permite simular, optimizar e intercambiar ideas de trading algorítmico y finanzas.",Agentes de Trading,github.com/HKUDS/AI-Trader,,,,,
superpowers,"Framework de ""habilidades agénticas"" que fuerza a los agentes de IA a seguir flujos rigurosos de TDD, planificación estructurada y subagentes.",Framework de Desarrollo IA,github.com/obra/superpowers,,,,,
context7,Servidor MCP que inyecta documentación actualizada de más de 50 librerías directamente en el contexto de tus editores y agentes de IA.,Contexto y Docs para LLMs,github.com/truefoundry/context7-mcp-server,,,,,
codebase-memory,Servidor MCP de alto rendimiento que indexa bases de código masivas en grafos de conocimiento de SQLite reduciendo el uso de tokens un 99%.,Inteligencia de Código MCP,github.com/DeusData/codebase-memory-mcp,,,,,
claude-ads,Suite de habilidades para Claude Code que realiza auditorías de marketing hiper-detalladas en 12 plataformas publicitarias como Google Ads y Meta.,Agentes de Marketing,github.com/AgriciDaniel/claude-ads,,,,,
understand anything,Plugin de análisis de código que transforma repositorios en mapas mentales interactivos y diagramas de arquitectura para que los entienda la IA.,Análisis de Código con IA,github.com/understand-anything/understand-anything,,,,,
context-mode,"Servidor MCP que intercepta ejecuciones de sandbox, tokeniza y reduce salidas grandes de terminales para evitar desbordar el contexto de la IA.",Optimización de Contexto,github.com/mksglu/context-mode,,,,,
openweb ui,"La interfaz web autohospedada más popular, amigable y rica en funciones para interactuar con tus LLMs locales y remotos.",Interfaces de Usuario de IA,github.com/open-webui/open-webui,,,,,
dify,"Plataforma de desarrollo de aplicaciones LLM y workflows agénticos con orquestación visual, herramientas de RAG y monitorización.",Framework de Desarrollo IA,github.com/langgenius/dify,,,,,
ollama,"Herramienta ultra popular para empaquetar, distribuir y ejecutar LLMs de forma local en tu máquina con comandos simples.",Inferencia de LLM Local,github.com/ollama/ollama,,,,,
meetly,(Meetily) Asistente de reuniones open-source y local que transcribe audio 4 veces más rápido usando Whisper/Parakeet y resume vía Ollama.,IA para Productividad,github.com/Zackriya-Solutions/meetily,,,,,
whisper,"El modelo de reconocimiento de voz de propósito general de OpenAI, líder absoluto en transcripción y traducción multiidioma.",IA de Voz y Audio,github.com/openai/whisper,,,,,
fooocus,Generador de imágenes offline basado en Stable Diffusion XL con un rediseño de interfaz enfocado en la facilidad de uso del usuario.,IA de Generación de Imágenes,github.com/lllyasviel/Fooocus,,,,,
moneyprinterturbo,"Herramienta automatizada que utiliza IA para buscar contenido, escribir guiones, generar audio/vídeo y publicar YouTube Shorts o TikToks con un clic.",IA de Automatización de Vídeo,github.com/Richardsuqi/MoneyPrinterTurbo,,,,, 
timesfm,Modelo fundacional de series temporales de Google optimizado para realizar predicciones estadísticas precisas.,IA de Predicción y Ciencia de Datos,github.com/google-research/timesfm,,,,,
n8n,Plataforma de automatización de flujos de trabajo basada en nodos que cuenta con integraciones avanzadas nativas de IA y agentes LangChain.,Automatización de Workflows,github.com/n8n-io/n8n,,,,,
coolify,Una alternativa auto-hospedada y open-source a Heroku o Netlify para gestionar y desplegar tus aplicaciones y bases de datos en tus propios servidores.,DevOps y Self-Hosting,github.com/coolify-org/coolify,,,,,
excalidraw,"Pizarra virtual interactiva con estilo de dibujo a mano alzada, ampliamente utilizada para diagramar arquitecturas de software y flujos de IA.",Productividad y Diseño,github.com/excalidraw/excalidraw,,,,,
yt-dlp,La herramienta de línea de comandos definitiva para descargar vídeos y audio desde YouTube y miles de otros sitios web.,Utilidades Multimedia,github.com/yt-dlp/yt-dlp,,,,,
stirling pdf,"Robusta herramienta web autohospedada que permite realizar todo tipo de operaciones con archivos PDF (unir, dividir, firmar, OCR).",Productividad y Utilidades,github.com/Stirling-Tools/Stirling-PDF,,,,,
vaultwarden,"Implementación alternativa y súper ligera en Rust de la API del servidor de Bitwarden, perfecta para auto-hospedar tu gestor de contraseñas.",Seguridad y Self-Hosting,github.com/dani-garcia/vaultwarden,,,,,
bitwarden,El repositorio principal de la plataforma de gestión de contraseñas de código abierto más confiable y utilizada del mundo.,Seguridad y Contraseñas,github.com/bitwarden/server,,,,,
appflowy,"Alternativa de código abierto y local a Notion que te permite gestionar notas, wikis y tareas con soporte de plugins offline.",Productividad y Gestión,github.com/AppFlowy-IO/AppFlowy,,,,,
penpot,"Herramienta de diseño y prototipado colaborativo basada en la web que utiliza SVG nativos, posicionándose como la alternativa libre a Figma.",Diseño y Prototipado,github.com/penpot/penpot,,,,,
cal.com,Infraestructura y plataforma de agendamiento de citas de código abierto que puedes auto-hospedar para sustituir a Calendly.,Productividad y Agendamiento,github.com/calcom/cal.com,,,,,
plausible analytics,"Herramienta de analítica web ligera, de código abierto y respetuosa con la privacidad de los usuarios, alternativa directa a Google Analytics.",Analítica Web,github.com/plausible/analytics,,,,,
obs-studio,Software libre y de código abierto por excelencia para la grabación de vídeo y transmisión en vivo de pantalla de tu escritorio.,Utilidades de Vídeo,github.com/obsproject/obs-studio,,,,,
remotion,"Suite que permite a los desarrolladores de frontend programar y renderizar vídeos de manera programática utilizando React, HTML y CSS.",Creación de Vídeo con Código,github.com/remotion-dev/remotion,,,,,
playwright,Framework de Microsoft para realizar pruebas de extremo a extremo (E2E) y automatizar navegadores web modernos de manera confiable.,Automatización y Pruebas,github.com/microsoft/playwright,,,,,
MarkItDown,"Herramienta oficial de Microsoft para convertir de forma limpia diversos formatos de archivos (PDF, Word, Excel, PowerPoint, audio, HTML) a Markdown estructurado listo para LLMs.",Procesamiento de Datos para IA,github.com/microsoft/markitdown,,,,,
Hermes,"Familia de modelos de lenguaje altamente capaces y optimizados para el razonamiento complejo, llamadas a funciones y comportamiento agéntico (desarrollados por Nous Research).",Modelos de Lenguaje (LLMs),github.com/NousResearch/Hermes-LLaMA-3,,,,,
last30days,"Utilidad y script automatizado diseñado para recopilar, resumir y archivar tendencias, noticias o datos clave de los últimos 30 días para alimentar el contexto de agentes de IA.",Ingesta de Datos y Contexto,github.com/different-ai/last30days,,,,,
career-ops,"Conjunto de herramientas, scripts y flujos agénticos diseñados para optimizar la búsqueda de empleo, adaptar currículums al perfil de vacantes y automatizar postulaciones mediante IA.",IA para Productividad,github.com/career-ops/career-ops,,,,,
container,"Herramienta de sandbox segura y ligera para ejecutar de forma aislada código generado de manera dinámica por agentes de IA, protegiendo el sistema anfitrión.",Entornos de Ejecución Segura,github.com/docker/containerd,,,,,
pm-skills,"Servidor de protocolo de contexto de modelo (MCP) que otorga a los agentes de IA habilidades específicas de Project Management, como estimación de tareas, gestión de recursos y cronogramas.",Servidor MCP y Skills de IA,github.com/the-mcp/pm-skills,,,,,
spec-kit,"Descripción: Un conjunto de herramientas de código abierto (toolkit) diseñado por GitHub para implementar el Desarrollo Guiado por Especificaciones (SDD - Spec-Driven Development). En lugar de improvisar código sobre la marcha (vibe coding), este sistema permite a los desarrolladores estructurar de forma rigurosa las especificaciones, planes técnicos, listas de tareas y principios de diseño antes de que los agentes de IA (como GitHub Copilot, Claude Code o Gemini CLI) empiecen a escribir el código fuente, garantizando flujos de trabajo más predecibles y auditables.",Categoría: Framework de Desarrollo y Orquestación para Agentes de IA,github.com/github/spec-kit,,,,,
Pydantic-AI,Framework de agentes de IA desarrollado por el equipo oficial de Pydantic; está diseñado para construir flujos agénticos con validación estricta de tipos y tipado seguro de producción en Python.,Framework de Agentes,github.com/pydantic/pydantic-ai,,,,,
Goose,"Un agente autónomo open-source ejecutable vía línea de comandos (CLI) que puede instalar herramientas, editar archivos y realizar pruebas de software usando cualquier LLM.",Agentes de Programación y CLI,github.com/block/goose,,,,,
Agno,"(Anteriormente Phidata) Framework ligero para crear agentes de IA con memoria a largo plazo, conocimiento semántico estructurado y llamadas automáticas a funciones (Function Calling).",Framework de Desarrollo IA,github.com/agno-agi/agno,,,,,
E2B,Entorno de desarrollo aislado (Sandboxing) seguro que permite a los agentes de IA ejecutar código arbitrario en la nube dentro de micro-VMs de manera segura.,Infraestructura para Agentes,github.com/e2b-dev/E2B,,,,,
OpenClaw,"Un asistente de IA personal de código abierto diseñado para auto-hospedarse, conectarse a herramientas locales y gestionar canales de comunicación del usuario.",Asistente de IA Personal,github.com/openclaw/openclaw,,,,,
Claude-Context,(Zilliztech) Herramienta de indexación que optimiza y convierte bases de código completas en vectores semánticos para inyectarlas directamente como contexto ultra-eficiente en Claude Code.,Gestión de Contexto para Agentes,github.com/zilliztech/claude-context,,,,,
HuggingFace ML-Intern,"Agente de IA diseñado para actuar como un ingeniero de Machine Learning autónomo: lee papers científicos, busca datasets en Hugging Face, entrena modelos en un sandbox y evalúa resultados.",Agentes de Ciencia de Datos,github.com/huggingface/ml-intern,,,,,
RAGFlow,Motor de RAG profundo basado en comprensión de documentos que permite extraer conocimientos complejos de archivos corporativos masivos para alimentar agentes de IA.,Infraestructura RAG,github.com/infiniflow/ragflow,,,,,
Inspect AI,"Framework desarrollado para evaluar capacidades de modelos de lenguaje y agentes de IA en producción, permitiendo auditar su seguridad, latencia y aserción de respuestas.",Evaluación y Pruebas de IA,github.com/UKGovernmentBEIS/inspect_ai,,,,,
Novu,"Infraestructura de comunicación de código abierto que unifica el envío de notificaciones (email, sms, push) optimizada para ser integrada nativamente por flujos y agentes autónomos.",Infraestructura de Comunicación,github.com/novuhq/novu,,,,,
axi,Principios de diseño para la ergonomía de agentes de IA. Busca una mayor precisión con un menor costo de tokens en comparación con MCP y CLIs tradicionales.,Desarrollo de Agentes,github.com/kunchenguid/axi,,,,,
gnhf,"(Good Night, Have Fun) Un orquestador autónomo que mantiene a tus agentes de IA trabajando y realizando cambios documentados mientras duermes.",Automatización Agéntica,github.com/kunchenguid/gnhf,,,,,
no-mistakes,"Un asistente de programación con IA que actúa como un pipeline de control de calidad local al hacer push a tus cambios, eliminando el código basura.",Calidad de Código con IA,github.com/kunchenguid/no-mistakes,,,,,
lavish-axi,Un editor diseñado para que los agentes de IA generen y visualicen artefactos HTML estructurados de forma eficiente.,Interfaces de IA,github.com/kunchenguid/lavish-axi,,,,,
treehouse,Herramienta para gestionar entornos de trabajo (worktrees) de Git de forma simplificada.,Utilidades de Desarrollo,github.com/kunchenguid/treehouse,,,,,
firstmate,Permite interactuar con un único agente principal que se encarga de coordinar y dirigir a una tripulación completa de agentes autónomos en paralelo.,Framework Multi-Agente,github.com/kunchenguid/firstmate,,,,,
Voicebox,"Descripción: Un framework de automatización y orquestación local diseñado para construir flujos de trabajo agénticos controlados por voz. Permite a los desarrolladores enlazar modelos de transcripción locales (como Whisper) y APIs de LLMs con comandos del sistema y herramientas personalizadas, logrando que un agente ejecute tareas complejas en el ordenador mediante lenguaje hablado y comandos de voz de baja latencia.",Categoría: Interfaces de Voz y Agentes de IA,github.com/jamiepine/voicebox,,,,,
openwork,"Aplicación de escritorio open-source y local-first para trabajo colaborativo con IA. Permite conectar servidores MCP a clientes como Claude Code, Cursor y ChatGPT para compartir habilidades y flujos agénticos en equipo.",Entornos y Colaboración de IA,https://github.com/different-ai/openwork,,,,,
build-your-own-x,"Colección masiva de tutoriales paso a paso para aprender a programar software complejo desde cero (motores de búsqueda, bases de datos, sistemas operativos, LLMs y más).",Recursos y Aprendizaje,https://github.com/codecrafters-io/build-your-own-x,,,,,
awesome,"El índice oficial y directorio definitivo de listas curadas sobre lenguajes de programación, frameworks, inteligencia artificial y herramientas de desarrollo.",Recopilaciones de Software,https://github.com/sindresorhus/awesome,,,,,
public-apis,Lista colectiva de APIs web públicas y gratuitas organizadas por categorías para desarrolladores de software y agentes de IA.,Herramientas y Servicios Web,https://github.com/public-apis/public-apis,,,,,
freeCodeCamp,Base de código abierta y plataforma educativa que ofrece miles de desafíos de programación interactivos y certificaciones de desarrollo de software.,Educación y Comunidad,https://github.com/freeCodeCamp/freeCodeCamp,,,,,
free-programming-books,"Colección multilingüe de libros de programación, cursos en línea y recursos didácticos de acceso libre.",Documentación y Libros,https://github.com/EbookFoundation/free-programming-books,,,,,
openclaw,Asistente personal autónomo ejecutable en múltiples plataformas para la automatización de flujos de trabajo locales y agénticos.,Agentes de IA y Automatización,https://github.com/openclaw/openclaw,,,,,
developer-roadmap,"Guías de aprendizaje interactivas, rutas de desarrollo profesional y diagramas de tecnologías para ingenieros de software (Frontend, Backend, DevOps, AI Engineer).",Guías y Carrera Técnica,https://github.com/kamranahmedse/developer-roadmap,,,,,
system-design-primer,"Guía de arquitectura para aprender a diseñar sistemas de software distribuidos y escalables a gran escala, orientada a entrevistas de ingeniería.",Arquitectura de Software,https://github.com/donnemartin/system-design-primer,,,,,
coding-interview-university,"Plan de estudios intensivo de ciencias de la computación enfocado en dominar estructuras de datos, algoritmos y pruebas técnicas de ingeniería de software.",Ciencias de la Computación,https://github.com/jwasham/coding-interview-university,,,,,
awesome-python,"Recopilación curada de las mejores librerías, frameworks, herramientas de IA y recursos para el ecosistema del lenguaje Python.",Ecosistema Python,https://github.com/vinta/awesome-python,,,,,
build-your-own-x,"Aprende a programar tecnologías desde cero con tutoriales paso a paso (motores de búsqueda, bases de datos, LLMs y más).",Recursos y Aprendizaje,https://github.com/codecrafters-io/build-your-own-x,,,,,
awesome,"El directorio definitivo de listas curadas sobre lenguajes de programación, inteligencia artificial, herramientas y software.",Recopilaciones de Software,https://github.com/sindresorhus/awesome,,,,,
public-apis,Lista colectiva de APIs web públicas y gratuitas para proyectos de desarrollo e integración con agentes de IA.,Herramientas y Servicios Web,https://github.com/public-apis/public-apis,,,,,
freeCodeCamp,Plataforma educativa de código abierto con miles de ejercicios interactivos y currículo completo de programación.,Educación y Comunidad,https://github.com/freeCodeCamp/freeCodeCamp,,,,,
free-programming-books,"Colección masiva en múltiples idiomas de libros de programación, cursos en línea y recursos didácticos gratuitos.",Documentación y Libros,https://github.com/EbookFoundation/free-programming-books,,,,,
Diagram Design,"Skill y plugin de código abierto que genera 38 tipos de diagramas editoriales para arquitectura, flujos y sistemas desde Claude Code o Codex.",Diseño y Visualización con IA,https://github.com/cathrynlavery/diagram-design,,,,,
Needle,"Foundation model compacto de 14 MB diseñado para ejecutar capacidades de IA directamente en teléfonos, wearables, robots y otros dispositivos.",Modelos de IA On-Device,https://github.com/cactus-compute/needle,,,,,
OpenViking,"Base de contexto para agentes que organiza memoria, recursos y skills como un sistema de archivos con capas L0, L1 y L2.",Memoria y Contexto para Agentes,https://github.com/volcengine/OpenViking,,,,,
Macro,"Workspace agéntico de código abierto que conecta correo, chat, documentos, tareas, llamadas y CRM dentro de un contexto compartido.",Productividad y Workspaces Agénticos,https://github.com/macro-inc/macro,,,,,
MoneyPrinterTurbo,"Herramienta que automatiza la creación de videos cortos a partir de un tema: guion, materiales, subtítulos, música y render final.",IA de Automatización de Vídeo,https://github.com/harry0703/MoneyPrinterTurbo,,,,,
